account,Extreme Fear,Fear,Neutral,Greed,Extreme Greed,fear_net_pnl,greed_net_pnl,fear_minus_greed,all_trades,all_net_pnl,all_win_rate
0x083384f897ee0f19899168e3b1bec365f52a9012,124625.229446,1110127.701763,124348.968632,275800.917329,-42078.309494999994,1234752.931209,233722.60783400002,1001030.323375,3818,1592824.507675,0.3596123624934521
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,-4298.44359818,-2234.76957251,-12194.69403239,28666.67704704,35216.71278151,-6533.21317069,63883.38982855,-70416.60299924,7280,45155.48262547,0.4427197802197802
0x271b280974205ca63b716753467d5a371de622ab,15525.749777,26205.068284,-20426.394111,-102780.096282,1758.4981639999999,41730.818061,-101021.598118,142752.416179,3809,-79717.174168,0.3019165135206091
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,-25820.018502275,13152.948826873,5334.5025002511,30700.34344381,106878.67091889,-12667.069675402001,137579.0143627,-150246.08403810198,13311,130246.4471875491,0.43858462925400044
0x2c229d22b100a7beb69122eed721cee9b24011dd,11323.76357,3807.576182,41313.301285,19741.859273,89363.307962,15131.339752,109105.167235,-93973.827483,3239,165549.808272,0.5199135535659154
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-57009.547784,-515.8015870000002,-1231.7127629999998,-3561.5383175,30967.92570212,-57525.349371000004,27406.38738462,-84931.73675562,815,-31350.67474938,0.45521472392638035
0x39cef799f8b69da1995852eea189df24eb5cae3c,-76806.45705766,54195.205666,10791.845975,10497.57873528,14320.088891309999,-22611.251391659993,24817.66762659,-47428.91901824999,3589,12998.262209929999,0.32766787405962666
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,104.115634,4212.695339923,8012.789628,4222.455692240001,36767.91677292,4316.810973922999,40990.37246516,-36673.561491237,332,53319.973067082996,0.4759036144578313
0x420ab45e0bd8863569a5efbb9c05d91f40624641,9434.75608,99590.422055021,74265.008071,11984.657952000001,3962.781485,109025.17813502101,15947.439437,93077.73869802101,383,199237.625643021,0.2349869451697128
0x430f09841d65beb3f27765503d0f850b8bce7713,-44.005053,5548.824815,58748.634777,227299.961959,124241.448912,5504.819762,351541.41087100003,-346036.59110900003,1237,415794.86541,0.48423605497170574
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,-14582.432557240001,9879.3437842741,3954.577814754,36188.16020841,66673.22038962,-4703.088772965901,102861.38059803,-107564.4693709959,8519,102112.8696398181,0.35344524005164923
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,164735.50792,293174.58315,96587.23313881,94932.788648,20290.945392,457910.09107,115223.73404000001,342686.35703,4356,669721.05824881,0.48622589531680444
0x4f93fead39b70a1824f981a54d4e55b278e9f760,71421.679577,-24940.439150000006,38558.853083999995,67854.162537,115357.146265,46481.240427,183211.308802,-136730.06837500003,7584,268251.402313,0.3603639240506329
